Date,Open,High,Low,Close,Adj Close,Volume
"Mar 31, 2025",217.01,225.62,216.23,222.13,221.84,"65,299,300"
"Mar 28, 2025",221.67,223.81,217.68,217.90,217.61,"39,818,600"
"Mar 27, 2025",221.39,224.99,220.56,223.85,223.56,"37,094,800"
"Mar 26, 2025",223.51,225.02,220.47,221.53,221.24,"34,466,100"
"Mar 25, 2025",220.77,224.10,220.08,223.75,223.46,"34,493,600"
"Mar 24, 2025",221.00,221.48,218.58,220.73,220.44,"44,299,500"
"Mar 21, 2025",211.56,218.84,211.28,218.27,217.98,"94,127,800"
"Mar 20, 2025",213.99,217.49,212.22,214.10,213.82,"48,862,900"
"Mar 19, 2025",214.22,218.76,213.75,215.24,214.96,"54,385,400"
"Mar 18, 2025",214.16,215.15,211.49,212.69,212.41,"42,432,400"
"Mar 17, 2025",213.31,215.22,209.97,214.00,213.72,"48,073,400"
"Mar 14, 2025",211.25,213.95,209.58,213.49,213.21,"60,107,600"
"Mar 13, 2025",215.95,216.84,208.42,209.68,209.41,"61,368,300"
"Mar 12, 2025",220.14,221.75,214.91,216.98,216.70,"62,547,500"
"Mar 11, 2025",223.81,225.84,217.45,220.84,220.55,"76,137,400"
"Mar 10, 2025",235.54,236.16,224.22,227.48,227.18,"72,071,200"
"Mar 7, 2025",235.11,241.37,234.76,239.07,238.76,"46,273,600"
"Mar 6, 2025",234.44,237.86,233.16,235.33,235.02,"45,170,400"
"Mar 5, 2025",235.42,236.55,229.23,235.74,235.43,"47,227,600"
"Mar 4, 2025",237.71,240.07,234.68,235.93,235.62,"53,798,100"
"Mar 3, 2025",241.79,244.03,236.11,238.03,237.72,"47,184,000"
"Feb 28, 2025",236.95,242.09,230.20,241.84,241.52,"56,833,400"
"Feb 27, 2025",239.41,242.46,237.06,237.30,236.99,"41,153,600"
"Feb 26, 2025",244.33,244.98,239.13,240.36,240.05,"44,433,600"
"Feb 25, 2025",248.00,250.00,244.91,247.04,246.72,"48,013,300"
"Feb 24, 2025",244.93,248.86,244.42,247.10,246.78,"51,326,400"
"Feb 21, 2025",245.95,248.69,245.22,245.55,245.23,"53,197,400"
"Feb 20, 2025",244.94,246.78,244.29,245.83,245.51,"32,316,900"
"Feb 19, 2025",244.66,246.01,243.16,244.87,244.55,"32,204,200"
"Feb 18, 2025",244.15,245.18,241.84,244.47,244.15,"48,822,500"
"Feb 14, 2025",241.25,245.55,240.99,244.60,244.28,"40,896,200"
"Feb 13, 2025",236.91,242.34,235.57,241.53,241.21,"53,614,100"
"Feb 12, 2025",231.20,236.96,230.68,236.87,236.56,"45,243,300"
"Feb 11, 2025",228.20,235.23,228.13,232.62,232.32,"53,718,400"
"Feb 10, 2025",0.25 Dividend,,,,,
"Feb 10, 2025",229.57,230.59,227.20,227.65,227.35,"33,115,600"
"Feb 7, 2025",232.60,234.00,227.26,227.63,227.08,"39,707,200"
"Feb 6, 2025",231.29,233.80,230.43,233.22,232.66,"29,925,300"
"Feb 5, 2025",228.53,232.67,228.27,232.47,231.91,"39,620,300"
"Feb 4, 2025",227.25,233.13,226.65,232.80,232.24,"45,067,300"
"Feb 3, 2025",229.99,231.83,225.70,228.01,227.46,"73,063,300"
"Jan 31, 2025",247.19,247.19,233.44,236.00,235.43,"101,075,100"
"Jan 30, 2025",238.67,240.79,237.21,237.59,237.02,"55,658,300"
"Jan 29, 2025",234.12,239.86,234.01,239.36,238.78,"45,486,100"
"Jan 28, 2025",230.85,240.19,230.81,238.26,237.69,"75,707,600"
"Jan 27, 2025",224.02,232.15,223.98,229.86,229.31,"94,863,400"
"Jan 24, 2025",224.78,225.63,221.41,222.78,222.24,"54,697,900"
"Jan 23, 2025",224.74,227.03,222.30,223.66,223.12,"60,234,800"
"Jan 22, 2025",219.79,224.12,219.79,223.83,223.29,"64,126,500"
"Jan 21, 2025",224.00,224.42,219.38,222.64,222.10,"98,070,400"
"Jan 17, 2025",232.12,232.29,228.48,229.98,229.43,"68,488,300"
"Jan 16, 2025",237.35,238.01,228.03,228.26,227.71,"71,759,100"
"Jan 15, 2025",234.64,238.96,234.43,237.87,237.30,"39,832,000"
